date,home,score,away,location
2014-11-08,Almería,1–2,Barcelona,Almería
2014-11-22,Barcelona,5–1,Sevilla,Barcelona
2014-11-30,Valencia,0–1,Barcelona,Valencia
2014-12-07,Barcelona,5–1,Espanyol,Barcelona
2014-12-13,Getafe,0–0,Barcelona,Getafe
2014-12-20,Barcelona,5–0,Córdoba,Barcelona
2014-12-03,Huesca,0-4,Barcelona,Huesca
2014-12-16,Barcelona,8-1,Huesca,Barcelona
2011-08-29,Barcelona,5–0,Villarreal,Barcelona
2011-09-10,Real Sociedad,2–2,Barcelona,San Sebastián
2011-09-17,Barcelona,8–0,Osasuna,Barcelona
2011-09-21,Valencia,2–2,Barcelona,Valencia
2011-09-24,Barcelona,5–0,Atlético Madrid,Barcelona
2011-10-02,Sporting Gijón,0–1,Barcelona,Gijón
2011-10-15,Barcelona,3–0,Racing Santander,Barcelona
2011-10-22,Barcelona,0–0,Sevilla,Barcelona
2011-10-25,Granada,0–1,Barcelona,Granada
2011-10-29,Barcelona,5–0,Mallorca,Barcelona
2011-11-06,Athletic Bilbao,2–2,Barcelona,Bilbao
2011-11-19,Barcelona,4–0,Zaragoza,Barcelona
2011-11-26,Getafe,1–0,Barcelona,Getafe
2011-11-29,Barcelona,4–0,Rayo Vallecano,Barcelona
2011-12-03,Barcelona,5–0,Levante,Barcelona
2011-12-10,Real Madrid,1–3,Barcelona,Madrid
2012-01-08,Espanyol,1–1,Barcelona,Cornellà de Llobregat
2012-01-15,Barcelona,4–2,Real Betis,Barcelona
2012-01-22,Málaga,1–4,Barcelona,Málaga
2012-01-28,Villarreal,0–0,Barcelona,Villarreal
2012-02-04,Barcelona,2–1,Real Sociedad,Barcelona
2012-02-11,Osasuna,3–2,Barcelona,Pamplona
2012-02-19,Barcelona,5–1,Valencia,Barcelona
2015-05-16,Atlético Madrid,1–2,Barcelona,Madrid
2012-03-03,Barcelona,3–1,Sporting Gijón,Barcelona
2012-03-11,Racing Santander,0–2,Barcelona,Santander
2012-03-17,Sevilla,0–2,Barcelona,Seville
2012-03-20,Barcelona,5–3,Granada,Barcelona
2012-03-24,Mallorca,0–2,Barcelona,Palma
2012-03-31,Barcelona,2–0,Athletic Bilbao,Barcelona
2012-04-07,Zaragoza,1–4,Barcelona,Zaragoza
2012-04-10,Barcelona,4–0,Getafe,Barcelona
2012-04-14,Levante,1–2,Barcelona,Valencia
2012-04-21,Barcelona,1–2,Real Madrid,Barcelona
2012-04-29,Rayo Vallecano,0–7,Barcelona,Vallecas
2012-05-02,Barcelona,4–1,Málaga,Barcelona
2012-05-05,Barcelona,4–0,Espanyol,Barcelona
2012-05-12,Real Betis,2–2,Barcelona,Seville
2011-11-09,L'hospitalet,0-1,Barcelona,L'hospitalet de Llobregat
2011-12-22,Barcelona,9-0,L'hospitalet,Barcelona
2012-01-04,Barcelona,4-0,Osasuna,Barcelona
2012-01-12,Osasuna,1-2,Barcelona,Pamplona
2012-01-18,Real Madrid,1-2,Barcelona,Madrid
2012-01-25,Barcelona,2-2,Real Madrid,Barcelona
2012-02-01,Valencia,1-1,Barcelona,Valencia
2012-02-08,Barcelona,2-0,Valencia,Barcelona
2012-05-25,Athletic Bilbao,0-3,Barcelona,Madrid
2011-09-13,Barcelona,2-2,Milan,Barcelona
2011-09-28,BATE Borisov,0-5,Barcelona,Minsk
2011-10-19,Barcelona,2-0,Viktoria Plzen,Barcelona
2011-11-01,Viktoria Plzen,0-4,Barcelona,Prague
2011-11-23,Milan,2-3,Barcelona,Milan
2011-12-06,Barcelona,4-0,BATE Borisov,Barcelona
