12 May 13,AC Milan,0 - 0,AS Roma,-,+,+,0-0,T
19 May 13,AS Roma,2 - 1,Napoli,+,-,-,0-0,W
25 Aug 13,Livorno,0 - 2,AS Roma,-,+,-,0-0,W
1 Sep 13,AS Roma,3 - 0,Hellas Verona,+,+,-,0-0,W
16 Sep 13,Parma,1 - 3,AS Roma,+,-,-,1-0,W
22 Sep 13,AS Roma,2 - 0,Lazio Roma,-,+,-,0-0,W
25 Sep 13,Sampdoria,0 - 2,AS Roma,-,+,-,0-0,W
29 Sep 13,AS Roma,5 - 0,Bologna,+,+,-,3-0,W
5 Oct 13,Inter Milan,0 - 3,AS Roma,+,+,-,0-3,W
18 Oct 13,AS Roma,2 - 0,Napoli,-,+,-,1-0,W
27 Oct 13,Udinese,0 - 1,AS Roma,-,+,-,0-0,W
31 Oct 13,AS Roma,1 - 0,Chievo,-,+,-,0-0,W
3 Nov 13,Torino,1 - 1,AS Roma,-,-,-,0-1,T
10 Nov 13,AS Roma,1 - 1,Sassuolo,-,-,-,1-0,T
25 Nov 13,AS Roma,0 - 0,Cagliari,-,+,+,0-0,T
1 Dec 13,Atalanta,1 - 1,AS Roma,-,-,-,0-0,T
8 Dec 13,AS Roma,2 - 1,Fiorentina,+,-,-,1-1,W
16 Dec 13,AC Milan,2 - 2,AS Roma,+,-,-,1-1,T
22 Dec 13,AS Roma,4 - 0,Catania,+,+,-,1-0,W
5 Jan 14,Juventus,3 - 0,AS Roma,+,-,+,1-0,L
12 Jan 14,AS Roma,4 - 0,Genoa,+,+,-,3-0,W
18 Jan 14,AS Roma,3 - 0,Livorno,+,+,-,2-0,W
26 Jan 14,Hellas Verona,1 - 3,AS Roma,+,-,-,0-1,W
9 Feb 14,Lazio Roma,0 - 0,AS Roma,-,+,+,0-0,T
16 Feb 14,AS Roma,3 - 0,Sampdoria,+,+,-,1-0,W
22 Feb 14,Bologna,0 - 1,AS Roma,-,+,-,0-1,W
1 Mar 14,AS Roma,0 - 0,Inter Milan,-,+,+,0-0,T
9 Mar 14,Napoli,1 - 0,AS Roma,-,-,+,0-0,L
17 Mar 14,AS Roma,3 - 2,Udinese,+,-,-,2-0,W
22 Mar 14,Chievo,0 - 2,AS Roma,-,+,-,0-2,W
25 Mar 14,AS Roma,2 - 1,Torino,+,-,-,1-0,W
30 Mar 14,Sassuolo,0 - 2,AS Roma,-,+,-,0-1,W
2 Apr 14,AS Roma,4 - 2,Parma,+,-,-,2-1,W
6 Apr 14,Cagliari,1 - 3,AS Roma,+,-,-,0-1,W
12 Apr 14,AS Roma,3 - 1,Atalanta,+,-,-,2-0,W
19 Apr 14,Fiorentina,0 - 1,AS Roma,-,+,-,0-1,W
25 Apr 14,AS Roma,2 - 0,AC Milan,-,+,-,1-0,W
4 May 14,Catania,4 - 1,AS Roma,+,-,-,2-1,L
11 May 14,AS Roma,0 - 1,Juventus,-,-,+,0-0,L
18 May 14,Genoa,1 - 0,AS Roma,-,-,+,0-0,L
