"","date","home_team","score","away_team","outcome","home"
"90","1 Dec 13","Atalanta","1 - 1","AS Roma","T",FALSE
"91","8 Dec 13","AS Roma","2 - 1","Fiorentina","W",TRUE
"92","16 Dec 13","AC Milan","2 - 2","AS Roma","T",FALSE
"93","22 Dec 13","AS Roma","4 - 0","Catania","W",TRUE
"94","5 Jan 14","Juventus","3 - 0","AS Roma","L",FALSE
"95","12 Jan 14","AS Roma","4 - 0","Genoa","W",TRUE
"96","18 Jan 14","AS Roma","3 - 0","Livorno","W",TRUE
"97","26 Jan 14","Hellas Verona","1 - 3","AS Roma","W",FALSE
"98","9 Feb 14","Lazio Roma","0 - 0","AS Roma","T",FALSE
"99","16 Feb 14","AS Roma","3 - 0","Sampdoria","W",TRUE
"100","22 Feb 14","Bologna","0 - 1","AS Roma","W",FALSE
"101","1 Mar 14","AS Roma","0 - 0","Inter Milan","T",TRUE
"102","9 Mar 14","Napoli","1 - 0","AS Roma","L",FALSE
"103","17 Mar 14","AS Roma","3 - 2","Udinese","W",TRUE
"104","22 Mar 14","Chievo","0 - 2","AS Roma","W",FALSE
"105","25 Mar 14","AS Roma","2 - 1","Torino","W",TRUE
"106","30 Mar 14","Sassuolo","0 - 2","AS Roma","W",FALSE
"107","2 Apr 14","AS Roma","4 - 2","Parma","W",TRUE
"108","6 Apr 14","Cagliari","1 - 3","AS Roma","W",FALSE
"109","12 Apr 14","AS Roma","3 - 1","Atalanta","W",TRUE
"110","19 Apr 14","Fiorentina","0 - 1","AS Roma","W",FALSE
"111","25 Apr 14","AS Roma","2 - 0","AC Milan","W",TRUE
"112","4 May 14","Catania","4 - 1","AS Roma","L",FALSE
"113","11 May 14","AS Roma","0 - 1","Juventus","L",TRUE
"114","18 May 14","Genoa","1 - 0","AS Roma","L",FALSE
