03/02/2015,19:45,H,ACF Fiorentina,0:2 (0:0),
26/08/2012,19:45,H,Calcio Catania,2:2 (0:1),
02/09/2012,19:45,A,Inter,3:1 (1:1),
16/09/2012,14:00,H,Bologna FC,2:3 (2:0),
22/09/2012,,A,Cagliari Calcio,3:0,
26/09/2012,19:45,H,Sampdoria,1:1 (1:0),
29/09/2012,19:45,A,Juventus,1:4 (0:3),
07/10/2012,11:30,H,Atalanta,2:0 (1:0),
21/10/2012,19:45,A,Genoa CFC,4:2 (2:2),
28/10/2012,19:45,H,Udinese Calcio,2:3 (2:1),
31/10/2012,19:45,A,Parma FC,2:3 (1:2),
04/11/2012,19:45,H,US Palermo,4:1 (2:0),
11/11/2012,14:00,A,Lazio Roma,2:3 (1:2),
19/11/2012,19:45,H,Torino FC,2:0 (0:0),
25/11/2012,14:00,A,Pescara Calcio,1:0 (1:0),
02/12/2012,14:00,A,AC Siena,3:1 (0:1),
08/12/2012,19:45,H,ACF Fiorentina,4:2 (3:1),
16/12/2012,14:00,A,Chievo Verona,0:1 (0:0),
22/12/2012,19:45,H,AC Milan,4:2 (3:0),
06/01/2013,19:45,A,SSC Napoli,1:4 (0:1),
13/01/2013,14:00,A,Calcio Catania,0:1 (0:0),
20/01/2013,19:45,H,Inter,1:1 (1:1),
27/01/2013,11:30,A,Bologna FC,3:3 (2:2),
01/02/2013,19:45,H,Cagliari Calcio,2:4 (1:1),
10/02/2013,14:00,A,Sampdoria,1:3 (0:0),
16/02/2013,19:45,H,Juventus,1:0 (0:0),
24/02/2013,14:00,A,Atalanta,3:2 (2:2),
03/03/2013,19:45,H,Genoa CFC,3:1 (1:1),
09/03/2013,19:45,A,Udinese Calcio,1:1 (1:0),
17/03/2013,19:45,H,Parma FC,2:0 (1:0),
30/03/2013,14:00,A,US Palermo,0:2 (0:2),
08/04/2013,19:45,H,Lazio Roma,1:1 (0:1),
14/04/2013,14:00,A,Torino FC,2:1 (1:1),
21/04/2013,14:00,H,Pescara Calcio,1:1 (0:1),
28/04/2013,14:00,H,AC Siena,4:0 (3:0),
04/05/2013,19:45,A,ACF Fiorentina,1:0 (0:0),
07/05/2013,19:45,H,Chievo Verona,0:1 (0:0),
12/05/2013,19:45,A,AC Milan,0:0 (0:0),
19/05/2013,19:45,H,SSC Napoli,2:1 (0:0),
11/12/2012,20:00,H,Atalanta,3:0 (2:0),
16/01/2013,20:00,A,ACF Fiorentina,"1:0 (0:0, 0:0) aet",
23/01/2013,19:45,H,Inter,2:1 (2:1),
17/04/2013,19:45,A,Inter,3:2 (0:1),
26/05/2013,17:00,N,Lazio Roma,0:1 (0:0),
