Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2012-11-15;09:20;75;116;BOULEVARD DE L AMIRAL BR;75116;1_75116_1138;;BOULEVARD DE L AMIRAL BRUIX;RUE MARBEAU;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.875306, 2.280692
2012-08-04;11:00;75;116;1, RUE JEAN BOLOGNE;75116;1_75116_1148;;RUE JEAN BOLOGNE;RUE DE L ANNONCIATION;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.856476, 2.279817
2013-06-12;21:05;75;116;BPE PASSY AUTEUIL;75116;1_75116_117;;BD PERIPHERIQUE EXTERIEUR;ECH AUTEUIL-BQ/16;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;;
2012-02-20;16:10;75;116;AVENUE PAUL DOUMER;75116;1_75116_1222;;AVENUE PAUL DOUMER;RUE DE LA TOUR;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.860119, 2.280503
2012-12-02;00:25;75;116;PLACE JEAN MONNET;75116;1_75116_1227;;PLACE JEAN MONNET;RUE DE LA POMPE;VL;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.855313, 2.278459
2012-01-09;14:40;75;116;BOULEVARD DE L AMIRAL BR;75116;1_75116_1236;;BOULEVARD DE L AMIRAL BRUIX;RUE WEBER;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.875306, 2.280692
2013-01-16;11:45;75;116;2, PLACE DE LA PORTE MAI;75116;1_75116_1237;;PLACE DE LA PORTE MAILLOT;NON DENOMMEE BG/17;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.845389, 2.257413
2012-12-13;18:15;75;116;17, AVENUE DE LAMBALLE;75116;1_75116_1244;;AVENUE DE LAMBALLE;AVENUE DU GENERAL MANGIN;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.854418, 2.280145
2012-02-06;23:10;75;116;PLACE DE LA PORTE MAILLO;75116;1_75116_1245;;PLACE DE LA PORTE MAILLOT;ECH MAILLOT-AR/16;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.877843, 2.280996
2012-08-25;16:45;75;116;PORTE MAILLOT;75116;1_75116_1245;;ECH MAILLOT-AR/16;PLACE DE LA PORTE MAILLOT;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.877843, 2.280996
