Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2013-10-07;05:45;75;119;AVENUE CORENTIN CARIOU;75119;1_75119_10244;;AVENUE CORENTIN CARIOU;BOULEVARD MACDONALD;Moto50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.896117, 2.383857
2013-02-05;13:50;75;119;79, RUE DE BELLEVILLE;75119;1_75119_10266;;RUE DE BELLEVILLE;RUE CLAVEL;Scoo<=50;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.873659, 2.383921
2012-12-11;14:50;75;119;163, AVENUE JEAN JAURES;75119;1_75119_10363;;AVENUE JEAN JAURES;RUE DES ARDENNES;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.88739, 2.387161
2012-05-06;13:00;75;119;66, RUE PETIT;75119;1_75119_10374;;RUE PETIT;RUE D HAUTPOUL;Cyclo;A;Scoo<=50;B;;;Cond;BL;A;Cond;BL;B;;;;;;;48.885578, 2.386701
2013-03-28;19:12;75;119;1, PLACE AUGUSTE BARON;75119;1_75119_10410;;PLACE AUGUSTE BARON;ECH VILLETTE-DG/19;VU;A;Moto>125;B;;;Cond;Indem;A;Cond;BH;B;;;;;;;
2012-12-05;09:30;75;119;17, RUE DE LA VILLETTE;75119;1_75119_10426;;RUE DE LA VILLETTE;RUE DELOUVAIN;VU;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;;48.875613, 2.387337
2012-08-27;18:35;75;119;76, RUE PETIT;75119;1_75119_10451;;RUE PETIT;RUE DE LUNEVILLE;Moto>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.885725, 2.387921
2012-01-10;13:00;75;119;RUE MANIN;75119;1_75119_10467;;RUE MANIN;RUE D HAUTPOUL;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.882555, 2.386028
2012-03-15;10:55;75;119;1, PLACE AUGUSTE BARON;75119;1_75119_10479;;PLACE AUGUSTE BARON;NON DENOMMEE DI/19;VU;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;
2013-10-06;00:20;75;119;PLACE AUGUSTE BARON;75119;1_75119_10542;;PLACE AUGUSTE BARON;ECH VILLETTE-DD/19;VL;A;VL;B;VL;Z;Cond;Indem;B;Cond;BL;A;;;;;;;
2013-09-27;07:25;75;119;176, AVENUE JEAN JAURES;75119;1_75119_10576;;AVENUE JEAN JAURES;RUE DU HAINAUT;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BH;B;;;;;;;48.887681, 2.389519
2012-04-23;17:00;75;119;139, RUE DE BELLEVILLE;75119;1_75119_10585;;RUE DE BELLEVILLE;RUE LASSUS;Scoo>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.875248, 2.389463
2012-10-23;20:50;75;119;1, RUE DU GENERAL BRUNET;75119;1_75119_10604;;RUE DU GENERAL BRUNET;RUE DE CRIMEE;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.87968, 2.389547
2013-12-24;15:35;75;119;86, RUE BOTZARIS;75119;1_75119_10604;;RUE BOTZARIS;RUE DE CRIMEE;Bicy;A;VU;Z;;;Cond;BL;A;;;;;;;;;;48.879434, 2.3894
2012-02-05;08:35;75;119;RUE DAVID D ANGERS;75119;1_75119_10684;;RUE DAVID D ANGERS;RUE FRANCOIS PINTON;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.882055, 2.392845
2013-12-24;10:10;75;119;106, RUE PETIT;75119;1_75119_10751;;RUE PETIT;ALLEE DE FONTAINEBLEAU;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.88619, 2.391327
2012-10-30;18:30;75;119;46, RUE MANIN;75119;1_75119_10786;;RUE MANIN;RUE DES CARRIERES D AMERIQUE;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.884548, 2.392027
2012-10-16;22:35;75;119;AVENUE JEAN JAURES;75119;1_75119_10885;;AVENUE JEAN JAURES;SENTE DES DOREES;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.885994, 2.382415
2012-01-05;22:00;75;119;221, RUE DE BELLEVILLE;75119;1_75119_11030;;RUE DE BELLEVILLE;RUE COMPANS;VL;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.87549, 2.395403
2012-09-20;09:50;75;119;221, RUE DE BELLEVILLE;75119;1_75119_11030;;RUE DE BELLEVILLE;RUE COMPANS;Scoo>125;A;Scoo<=50;B;;;Cond;BH;A;Cond;Indem;B;;;;;;;48.87549, 2.395403
2013-04-08;12:50;75;119;PORTE DE PANTIN;75119;1_75119_11044;;ECH PANTIN-DA/19;BD PERIPHERIQUE EXTERIEUR;Moto50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.889625, 2.395859
2012-03-14;16:50;75;119;1, PLACE DE LA PORTE DE;75119;1_75119_11053;;PLACE DE LA PORTE DE PANTIN;ECH PANTIN-DB/19;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.889586, 2.396785
2013-08-17;16:40;75;119;1, PLACE DE LA PORTE DE;75119;1_75119_11053;;PLACE DE LA PORTE DE PANTIN;AVENUE JEAN JAURES;Moto>125;A;VL;B;;;Cond;BH;A;Cond;Indem;B;;;;;;;48.889586, 2.396785
2012-11-27;02:10;75;119;AVENUE DE LA PORTE DE PA;75119;1_75119_11067;;PLACE DE LA PORTE DE PANTIN;BOULEVARD SERURIER;Scoo<=50;A;VL;Z;;;Cond;BH;A;;;;;;;;;;48.889985, 2.397966
2012-06-30;12:20;75;119;1, PLACE DE LA PORTE DE;75119;1_75119_11084;;PLACE DE LA PORTE DE PANTIN;ECH PANTIN-CW/19;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.889586, 2.396785
2012-10-07;12:40;75;119;25, BOULEVARD D INDOCHIN;75119;1_75119_11119;;BOULEVARD D INDOCHINE;AVENUE DE LA PORTE CHAUMONT;Scoo>125;A;VL;B;;;Cond;BL;A;Pass;BH;A;Cond;Indem;B;;;;48.886122, 2.396323
2013-08-30;16:25;75;119;BOULEVARD D INDOCHINE;75119;1_75119_11119;;BOULEVARD D INDOCHINE;AVENUE DE LA PORTE CHAUMONT;VL;A;VU;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;;;;48.885303, 2.396417
2012-09-13;10:00;75;119;14, RUE DE TOULOUSE;75119;1_75119_11125;;RUE DE TOULOUSE;BOULEVARD D INDOCHINE;VU;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.88562, 2.39589
2012-12-24;04:55;75;119;PLACE DE LA PORTE DE PAN;75119;1_75119_11167;;PLACE DE LA PORTE DE PANTIN;AVENUE DE LA PORTE DE PANTIN;Scoo<=50;A;Moto>125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.889625, 2.395859
2012-11-04;00:20;75;119;PORTE DE PANTIN;75119;1_75119_11190;;BD PERIPHERIQUE EXTERIEUR;ECH PANTIN-CV/19;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.889625, 2.395859
2012-10-25;09:00;75;119;253, RUE DE BELLEVILLE;75119;1_75119_11216;;RUE DE BELLEVILLE;RUE DU DOCTEUR POTAIN;VU;A;VL;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;;;;48.875555, 2.398128
2013-04-28;15:40;75;119;27, RUE DES BOIS;75119;1_75119_11218;;RUE DES BOIS;RUE DE L INSPECTEUR ALLES;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.878423, 2.398302
2012-11-03;00:30;75;119;RUE SIGMUND FREUD;75119;1_75119_11556;;RUE SIGMUND FREUD;AVENUE DE LA PORTE DU PRE SAINT GERVAIS;VL;A;Voi;B;;;Cond;BL;B;;;;;;;;;;48.884138, 2.399525
2012-05-30;06:30;75;119;278, RUE DE BELLEVILLE;75119;1_75119_11559;;RUE DE BELLEVILLE;RUE HAXO;Scoo<=50;A;PL<=7,5;Z;;;Cond;BL;A;Pass;BL;A;;;;;;;48.87593, 2.402466
2012-05-21;20:00;75;119;1, RUE ALEXANDER FLEMING;75119;1_75119_11612;;RUE ALEXANDER FLEMING;AVENUE DU BELVEDERE;Cyclo;A;;;;;Cond;Indem;A;Pass;BL;A;;;;;;;
2013-12-22;07:15;75;119;BPI PRE ST GERVAIS LILAS;75119;1_75119_11673;;BD PERIPHERIQUE INTERIEUR;ECH LILAS-CR/19;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.880032, 2.398968
2013-01-11;17:25;75;119;PLACE DU MAQUIS DU VERCO;75119;1_75119_11974;;PLACE DU MAQUIS DU VERCORS;AVENUE DE LA PORTE DES LILAS;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;
2013-06-18;09:30;75;119;216, BOULEVARD DE LA VIL;75119;1_75119_8728;;BOULEVARD DE LA VILLETTE;RUE DE KABYLIE;Cyclo;A;VL;B;;;Cond;Indem;B;Cond;BL;A;;;;;;;48.884325, 2.367808
2013-06-21;11:45;75;119;12, RUE DE TANGER;75119;1_75119_8738;;RUE DE TANGER;RUE GASTON REBUFFAT;VL;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;;48.884916, 2.367583
2012-05-08;18:15;75;119;107, RUE D AUBERVILLIERS;75119;1_75119_8875;;RUE D AUBERVILLIERS;RUE RAYMOND RADIGUET;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.890276, 2.36843
2012-05-24;18:55;75;119;BOULEVARD DE LA VILLETTE;75119;1_75119_8956;;BOULEVARD DE LA VILLETTE;AVENUE JEAN JAURES;Cyclo;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.878681, 2.371363
2013-03-28;00:40;75;119;2, AVENUE SECRETAN;75119;1_75119_8964;;AVENUE SECRETAN;BOULEVARD DE LA VILLETTE;Bus;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.882238, 2.370659
2012-11-16;01:00;75;119;PLACE DU COLONEL FABIEN;75119;1_75119_8979;;PLACE DU COLONEL FABIEN;RUE DE MEAUX;Scoo<=50;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.878152, 2.37081
2013-11-14;01:00;75;119;28, AVENUE DE FLANDRE;75119;1_75119_8999;;AVENUE DE FLANDRE;RUE DE SOISSONS;Scoo50-125;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.885854, 2.371268
2012-10-30;20:00;75;119;RUE RIQUET;75119;1_75119_9027;;RUE RIQUET;RUE DE TANGER;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.888841, 2.37282
2012-10-28;16:10;75;119;RUE DE CRIMEE;75119;1_75119_9084;;RUE DE CRIMEE;RUE GASTON TESSIER;Moto>125;A;;;;;Pass;BL;A;Cond;Indem;A;;;;;;;48.885848, 2.382344
2013-05-11;13:15;75;119;251, RUE DE CRIMEE;75119;1_75119_9084;;RUE DE CRIMEE;RUE GASTON TESSIER;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.894837, 2.372131
2012-06-20;16:50;75;119;11 TER, RUE CURIAL;75119;1_75119_9117;;RUE CURIAL;RUE MATHIS;Bicy;A;Moto>125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.891165, 2.372106
2013-08-14;11:10;75;119;RUE DE CHAUMONT;75119;1_75119_9120;;RUE DE CHAUMONT;AVENUE SECRETAN;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.881129, 2.371834
2013-01-15;21:30;75;119;54, AVENUE DE FLANDRE;75119;1_75119_9250;;AVENUE DE FLANDRE;RUE DE ROUEN;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.887693, 2.373515
2012-02-07;09:50;75;119;68, BOULEVARD DE LA VILL;75119;1_75119_9257;;BOULEVARD DE LA VILLETTE;RUE BURNOUF;VU;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.875413, 2.373605
2012-04-04;08:20;75;119;59, RUE DE MEAUX;75119;1_75119_9280;;RUE DE MEAUX;RUE BOURET;VL;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;;48.881648, 2.373666
2012-10-05;13:00;75;119;127, AVENUE SIMON BOLIVA;75119;1_75119_9282;;AVENUE SIMON BOLIVAR;AVENUE SECRETAN;VL;A;VU;B;;;Cond;BH;A;Cond;Indem;B;;;;;;;48.88086, 2.373633
2012-03-13;08:00;75;119;98, AVENUE SIMON BOLIVAR;75119;1_75119_9301;;AVENUE SIMON BOLIVAR;RUE DES CHAUFOURNIERS;VL;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;;48.877889, 2.374262
2012-08-14;17:50;75;119;103, AVENUE SIMON BOLIVA;75119;1_75119_9318;;AVENUE SIMON BOLIVAR;AVENUE MATHURIN MOREAU;Scoo<=50;A;;;;;Troll;BL;A;Cond;Indem;A;;;;;;;48.878103, 2.374019
2013-07-18;20:45;75;119;24, AVENUE MATHURIN MORE;75119;1_75119_9318;;AVENUE MATHURIN MOREAU;AVENUE SIMON BOLIVAR;Bus;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.878231, 2.373539
2012-03-12;18:00;75;119;218, RUE DE CRIMEE;75119;1_75119_9332;;RUE DE CRIMEE;RUE DE L ESCAUT;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.892804, 2.37456
2013-09-15;14:50;75;119;113, AVENUE SIMON BOLIVA;75119;1_75119_9333;;AVENUE SIMON BOLIVAR;RUE EDOUARD PAILLERON;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.876597, 2.378072
2012-06-19;09:20;75;119;RUE ARCHEREAU;75119;1_75119_9398;;RUE ARCHEREAU;RUE DE CRIMEE;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.891422, 2.374174
2013-06-12;16:15;75;119;76, AVENUE DE FLANDRE;75119;1_75119_9416;;AVENUE DE FLANDRE;IMPASSE DES ANGLAIS;Moto>125;A;;;;;Cond;BL;A;;;;;;;;;;48.889286, 2.375467
2013-12-07;18:40;75;119;17, RUE DE LA MOSELLE;75119;1_75119_9444;;RUE DE LA MOSELLE;QUAI DE LA LOIRE;Bicy;A;VL;B;;;Cond;Indem;B;Cond;BL;A;;;;;;;48.885569, 2.375651
2012-10-19;12:00;75;119;ECHANGEUR AUBERVILLIERS;75119;1_75119_9492;;BD PERIPHERIQUE EXTERIEUR;ECH AUBERVILLIERS-DJ/19;Moto50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.890276, 2.36843
2013-01-07;17:10;75;119;10, BOULEVARD DE LA VILL;75119;1_75119_9507;;BOULEVARD DE LA VILLETTE;PLACE JEAN ROSTAND;Bicy;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.873118, 2.376216
2013-08-07;14:55;75;119;64, AVENUE SIMON BOLIVAR;75119;1_75119_9567;;AVENUE SIMON BOLIVAR;RUE DE L ATLAS;Moto>125;A;VL;B;VL;C;Cond;BL;A;Cond;Indem;B;Cond;Indem;C;;;;48.876534, 2.376893
2012-06-26;08:25;75;119;184, RUE DE CRIMEE;75119;1_75119_9568;;RUE DE CRIMEE;AVENUE DE FLANDRE;VL;A;Scoo>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;Pass;BL;B;48.890953, 2.376601
2013-10-23;17:46;75;119;AVENUE DE FLANDRE;75119;1_75119_9568;;AVENUE DE FLANDRE;RUE DE CRIMEE;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.889588, 2.375524
2013-12-29;00:10;75;119;2, RUE MATHIS;75119;1_75119_9568;;RUE DE CRIMEE;AVENUE DE FLANDRE;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.890633, 2.376418
2012-05-14;15:50;75;119;97, RUE DE MEAUX;75119;1_75119_9572;;RUE DE MEAUX;PASSAGE DE MELUN;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.88368, 2.3771
2012-11-11;15:20;75;119;2, BOULEVARD DE LA VILLE;75119;1_75119_9586;;BOULEVARD DE LA VILLETTE;RUE DE BELLEVILLE;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.878681, 2.371363
2013-03-24;17:40;75;119;120, AVENUE DE FLANDRE;75119;1_75119_9754;;AVENUE DE FLANDRE;RUE DE L OURCQ;Scoo<=50;A;VL;B;;;Cond;Indem;B;Pass;BL;B;;;;;;;48.892355, 2.379257
2013-02-17;07:58;75;119;94, AVENUE JEAN JAURES;75119;1_75119_9773;;AVENUE JEAN JAURES;AVENUE DE LAUMIERE;VL;A;VL;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.884982, 2.379211
2013-06-01;19:55;75;119;RUE MANIN;75119;1_75119_9794;;RUE MANIN;AVENUE SIMON BOLIVAR;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.882555, 2.386028
2012-07-10;11:00;75;119;1, QUAI DE L OISE;75119;1_75119_9801;;QUAI DE L OISE;PLACE DE BITCHE;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.888873, 2.379756
2013-10-30;22:10;75;119;PORTE DE LA VILLETTE;75119;1_75119_9895;;BD PERIPHERIQUE EXTERIEUR;ECH VILLETTE-DF/19;Moto>125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.898863, 2.386918
2013-02-09;20:00;75;119;14, RUE DE THIONVILLE;75119;1_75119_9953;;RUE DE THIONVILLE;PASSAGE DE THIONVILLE;Bicy;A;Cyclo;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.888481, 2.38191
2013-05-05;14:05;75;119;43, AVENUE SIMON BOLIVAR;75119;1_75119_9970;;AVENUE SIMON BOLIVAR;RUE BOTZARIS;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.876022, 2.380724
2012-09-29;10:15;75;119;8, AVENUE SIMON BOLIVAR;75119;;;AVENUE SIMON BOLIVAR;;Moto>125;A;;;;;Cond;BL;A;;;;;;;;;;48.874081, 2.384646
2012-01-24;18:36;75;119;45, AVENUE SIMON BOLIVAR;75119;;;AVENUE SIMON BOLIVAR;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.876083, 2.380401
2012-11-10;08:40;75;119;121, RUE DE MEAUX;75119;;;RUE DE MEAUX;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.884659, 2.378943
2012-01-02;08:20;75;119;66, AVENUE DE FLANDRE;75119;;;AVENUE DE FLANDRE;;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.88862, 2.374612
2013-07-31;10:00;75;119;71, QUAI DE LA SEINE;75119;;;QUAI DE LA SEINE;;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BH;B;;;;;;;48.888165, 2.377387
2013-04-05;17:10;75;119;59, AVENUE DE FLANDRE;75119;;;AVENUE DE FLANDRE;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.887997, 2.372969
2013-12-10;11:05;75;119;12, RUE DE ROUEN;75119;;;RUE DE ROUEN;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.887667, 2.374265
2013-03-24;12:37;75;119;147, RUE DE CRIMEE;75119;;;RUE DE CRIMEE;;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.887319, 2.380479
2013-12-15;20:45;75;119;08, AVENUE JEAN JAURES;75119;;;AVENUE JEAN JAURES;;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.885994, 2.382415
2012-05-24;17:05;75;119;12, AVENUE DE LAUMIERE;75119;;;AVENUE DE LAUMIERE;;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BH;B;;;;48.883671, 2.380943
2013-10-15;16:25;75;119;13, AVENUE DE FLANDRE;75119;;;AVENUE DE FLANDRE;;Scoo<=50;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.884894, 2.369424
2013-07-26;20:30;75;119;63, RUE DE L OURCQ;75119;;;RUE DE L OURCQ;;Bicy;A;;;;;Cond;BH;A;Piéto;BL;A;;;;;;;48.891869, 2.379821
2013-01-01;15:30;75;119;42, RUE ARCHEREAU;75119;;;RUE ARCHEREAU;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;;48.891531, 2.374468
2013-12-29;01:30;75;119;45, RUE RIQUET;75119;;;RUE RIQUET;;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.889235, 2.370668
2013-05-07;08:30;75;119;195, RUE DE CRIMEE;75119;;;RUE DE CRIMEE;;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.891223, 2.375924
2013-12-19;08:00;75;119;90, AVENUE DE FLANDRE;75119;;;AVENUE DE FLANDRE;;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;;48.890093, 2.376554
2013-03-29;08:10;75;119;119, AVENUE DE FLANDRE;75119;;;AVENUE DE FLANDRE;;Moto>125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.891455, 2.377335
2012-01-19;13:50;75;119;87, AVENUE DE FLANDRE;75119;;;AVENUE DE FLANDRE;;Scoo50-125;A;;;;;Piéto;BL;A;Cond;BL;A;;;;;;;48.889503, 2.374855
2013-02-07;20:25;75;119;18, AVENUE CORENTIN CARI;75119;;;AVENUE CORENTIN CARIOU;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.895349, 2.383347
2013-12-26;00:50;75;119;18, AVENUE CORENTIN CARI;75119;;;AVENUE CORENTIN CARIOU;;Scoo<=50;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.895349, 2.383347
2013-03-17;19:15;75;119;145, AVENUE DE FLANDRE;75119;;;AVENUE DE FLANDRE;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;Piéto;BL;A;;;;48.893108, 2.379464
2012-03-07;14:15;75;119;96, RUE CURIAL;75119;;;RUE CURIAL;;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.896377, 2.376166
2012-10-22;10:00;75;119;BPE VILLETTE AUBERVILLIE;75119;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;Moto50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.877026, 2.387815
2012-11-01;17:10;75;119;PORTE D AUBERVILLIERS;75119;;;BD PERIPHERIQUE INTERIEUR;;Moto>125;A;VL;B;;;Cond;BH;A;Cond;Indem;B;;;;;;;48.899482, 2.371199
2012-01-23;00:10;75;101;256, RUE DE RIVOLI;75101;1_75101_4256;;RUE DE RIVOLI;RUE SAINT FLORENTIN;Moto>125;A;Scoo50-125;B;VL;C;Cond;BL;A;Cond;BL;B;Cond;Indem;C;;;;48.866526, 2.323849
2012-09-17;15:40;75;101;RUE DE RIVOLI;75101;1_75101_4256;;RUE DE RIVOLI;RUE SAINT FLORENTIN;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.861706, 2.338555
2013-06-06;18:20;75;101;RUE DE RIVOLI;75101;1_75101_4256;;RUE DE RIVOLI;PLACE DE LA CONCORDE;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.861706, 2.338555
2013-04-10;07:55;75;101;252, RUE DE RIVOLI;75101;1_75101_4256;;RUE DE RIVOLI;RUE SAINT FLORENTIN;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.866353, 2.324362
2012-03-27;18:50;75;101;234, RUE DE RIVOLI;75101;1_75101_4629;;RUE DE RIVOLI;RUE DE CASTIGLIONE;Moto50-125;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.865385, 2.327177
2013-12-08;12:35;75;101;232, RUE DE RIVOLI;75101;1_75101_4629;;RUE DE RIVOLI;RUE DE CASTIGLIONE;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.865293, 2.327647
2013-03-08;17:25;75;101;5, RUE DE CASTIGLIONE;75101;1_75101_4680;;RUE DE CASTIGLIONE;RUE DU MONT THABOR;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.86608, 2.327851
2013-12-11;16:15;75;101;AVENUE GENERAL LEMONNIER;75101;1_75101_4876;;AVENUE GENERAL LEMONNIER;QUAI DES TUILERIES;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.862498, 2.331059
2013-01-31;14:15;75;101;334, RUE SAINT HONORE;75101;1_75101_4895;;RUE SAINT HONORE;RUE D ALGER;VL;A;Scoo<=50;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.865741, 2.330474
2012-07-09;15:45;75;101;194 BIS, RUE DE RIVOLI;75101;1_75101_4994;;RUE DE RIVOLI;RUE SAINT ROCH;Scoo50-125;A;;;;;Cond;BL;A;Piéto;BH;A;;;;;;;48.864126, 2.331238
2012-04-01;15:55;75;101;199, RUE SAINT HONORE;75101;1_75101_5046;;RUE SAINT HONORE;RUE SAINT ROCH;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.864931, 2.331822
2013-04-09;10:15;75;101;192, RUE DE RIVOLI;75101;1_75101_5059;;RUE DE RIVOLI;SOUTERRAIN LEMONNIER;Moto50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.863711, 2.332403
2012-02-04;15:20;75;101;PLACE DU CARROUSEL;75101;1_75101_5180;;PLACE DU CARROUSEL;QUAI DES TUILERIES;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.860421, 2.333288
2012-04-19;04:40;75;101;QUAI DES TUILERIES;75101;1_75101_5180;;QUAI DES TUILERIES;SOUTERRAIN TUILERIES;VL;A;;;;;Cond;BL;A;Pass;BL;A;;;;;;;48.862968, 2.323733
2013-01-06;15:40;75;101;10, QUAI FRANCOIS MITTER;75101;1_75101_5180;;QUAI DES TUILERIES;PONT DU CARROUSEL;Bicy;A;;;;;Cond;BL;A;;;;;;;;;;48.860095, 2.333634
2012-11-05;08:55;75;101;165, RUE SAINT HONORE;75101;1_75101_5301;;RUE SAINT HONORE;PLACE ANDRE MALRAUX;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.863521, 2.33466
2012-09-30;00:25;75;101;RUE DE L ECHELLE;75101;1_75101_5320;;RUE DE L ECHELLE;AVENUE DE L OPERA;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.863925, 2.334273
2012-12-30;20:40;75;101;RUE DE RIVOLI;75101;1_75101_5350;;RUE DE RIVOLI;RUE DE ROHAN;Bus;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.861706, 2.338555
2013-11-28;09:15;75;101;25, RUE MOLIERE;75101;1_75101_5492;;RUE MOLIERE;RUE THERESE;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.865567, 2.336534
